idx,A_fr,Aq,NTU,eps,dp_hot,dp_cold,t_hot_out,t_cold_out,re_hot,re_cold,g2_hot,g2_cold,Aq/Ao_c,Aq/Ao_h,dW_Ex,dW_Eu,R_c/R_t,valid
0,1.0,16.0,0.22203118576043918,0.1971224071464782,0.006335108906316389,1.4912828749658047e-09,766.9692759877747,365.32091727328975,481851.72654809087,11666.295567199139,0.017637127749500346,4.0856739558684643e-07,183.27925233644862,18.99439524214104,0.0004074475832616614,-0.13483098225225762,0.3457989250195296,True
1,0.9326033468832199,16.0,0.2359543010985934,0.20798035404635098,0.008229324121578951,1.8198029749783018e-09,766.361678823527,370.9019019798244,516673.81224659923,12509.38633899197,0.02027841100871155,4.697532211674109e-07,196.52433475493282,20.367067420056674,0.0004319910383602836,-0.1348248951513331,0.3479828896939715,True
2,0.8697490026177833,16.0,0.25078443257553223,0.21937016251912891,0.010881374932545373,2.221039130390068e-09,765.7243193491068,376.7562635348322,554012.3933431443,13413.404938764805,0.023315244912816564,5.401020521478503e-07,210.72660248509862,21.83893880300113,0.0004605143004553429,-0.13159337455524575,0.35015551803565736,True
3,0.8111308307896871,16.0,0.2665824767879793,0.23130780158862155,0.014752047866623763,2.7111553002612254e-09,765.0563039578617,382.8922100165515,594049.3299693438,14382.75445138889,0.026806865937922322,6.209861126856637e-07,225.9552286503704,23.41717824194748,0.0004952711002502756,-0.1228846615447753,0.3523160032747697,True
4,0.7564633275546289,16.0,0.2834135191478974,0.24380829971887302,0.020769136193095727,3.3099181173668057e-09,764.3567916756904,389.31746605550074,636979.6247833222,15422.156160447375,0.030821381636815463,7.139831271051884e-07,242.28438532364004,25.109472660813605,0.0005408663563492464,-0.10410370321941201,0.3544635576571352,True
5,0.7054802310718643,16.0,0.3013471274928265,0.2568855063508461,0.031194033797876997,4.041502688068022e-09,763.6250075051524,396.03915026433486,683012.3727435911,16536.6725435723,0.03543709914475191,8.209070949851412e-07,259.7936047874582,26.924064496154763,0.000608708932031398,-0.06385920717283086,0.35659741349860935,True
6,0.657933224657568,16.0,0.32045766654683766,0.27055182960776936,0.054337622969721666,4.935473141287616e-09,762.8602571031498,403.06364041839345,732371.7795204496,17731.731929590653,0.040744052638281604,9.438436750307995e-07,278.5681669014956,28.869791842518637,0.000741701910618014,0.04085844248232367,0.35871682417497497,True
7,0.6135907273413173,16.0,0.3408246347238946,0.2848179498944726,0.07582278298662071,6.027984778000928e-09,762.0619428075513,410.3964262457589,785298.2535051495,19013.15493757392,0.046845759541717866,1.0851908679285692e-06,298.6995144639748,30.956131498993752,0.0008689839805849668,0.13977613242337977,0.36082106504508143,True
8,0.5722367659350217,16.0,0.3625330248725413,0.2996925095501247,-0.07430108815206715,7.363250231762208e-09,761.2295810038373,418.0419499087641,842049.576735525,20387.182826564247,0.053861239737810325,1.2477057917426125e-06,320.2856985901186,33.19324512661229,0.00015890431820613014,-0.5879714995895045,0.3629094343053056,False
9,0.533669923120631,16.0,0.38567371067567396,0.31518177924684876,0.11585876701507236,8.995330702532556e-09,760.3628207930182,426.00343453288025,902902.16044117,21860.50789405661,0.06192733716934194,1.434558462254339e-06,343.43185627686216,35.59202874142026,0.0011154515471375995,0.3291572935719129,0.36498125377376384,False
10,0.4977023564332111,16.0,0.4103438605422666,0.33128930246814764,-0.6974019757217547,1.099032109763698e-08,759.4614638861768,434.28270146862786,968152.3913233725,23440.30607129482,0.0712013891168051,1.649393627283945e-06,368.25072247983957,38.16416578427428,-0.0020161812553304978,-2.611379459752942,0.36703586960306545,False
11,0.46415888336127786,16.0,0.436647380959892,0.3480155201590229,-0.17991596827128786,1.342901767564797e-08,758.5254856085812,442.87997736173776,1038118.0751269641,25134.271874139016,0.0818642952190829,1.896401861134162e-06,394.8631791967521,40.92218402584522,-0.00024497401463323144,-1.0566321833908416,0.3690726529207428,False
12,0.43287612810830584,16.0,0.4646953914183605,0.36535737852023453,-0.48332846205744895,1.6410168113267787e-08,757.5550568470277,451.7936925594005,1113139.984535094,26950.65587973524,0.094124046101446,2.180401305924288e-06,423.39884423146583,43.87951658398828,-0.0013335561380285067,-2.072168001208009,0.3710910003968472,False
13,0.40370172585965547,16.0,0.4946067331664699,0.38330792392550606,-0.7353362100294705,2.0054432559035718e-08,756.5505667177683,461.0202728977101,1193583.5189260591,28898.30491151989,0.10821978044027646,2.506931654260808e-06,453.9967025064554,47.050567350669006,-0.0020752412307595077,-2.7361090024283836,0.37309033473853326,False
14,0.3764935806792468,16.0,0.5265085142264524,0.4018558900719686,-1.0115696095531401,2.450920799645928e-08,755.5126456690583,470.55392749699183,1279840.4840761516,30986.705128282712,0.12442644960161496,2.8823622064703833e-06,486.80578299844404,50.45078114711148,-0.0027728632912049998,-3.335883625492863,0.3750701051117912,False
15,0.3511191734215131,16.0,0.5605366932650212,0.4209852837250155,-1.323107527751005,2.9954495328610165e-08,754.442188662356,480.38643583465796,1372331.0004766823,33226.02822715674,0.14306018084196062,3.314016110159376e-06,521.9858845943019,54.096718948864016,-0.003452906067977665,-3.8974944356940635,0.37702978749080046,False
16,0.32745491628777285,16.0,0.5968367051067865,0.4406749767769964,-1.6775805044796046,3.6610035225592696e-08,753.3403780002102,490.50693806337614,1471505.5495597797,35627.18098556995,0.16448444368590934,3.810313205516535e-06,559.7083544025332,58.00613854717162,-0.004123832683519893,-4.429771473780047,0.3789688849356883,False
17,0.30538555088334157,16.0,0.6355641308761492,0.46089831378518653,-2.0823646318906777,4.47439756356971e-08,752.2087052879457,500.9017332855858,1577847.1677992386,38201.858383456085,0.1891171397619791,4.380934262699006e-06,600.1569223111737,62.19808103952163,-0.004789360394491351,-4.936983814024853,0.38088692779976524,False
18,0.2848035868435802,16.0,0.6768854159685576,0.48162274565954166,-2.5453760914548127,5.468339137060241e-08,751.0489919320394,511.5540912690044,1691873.7993729461,40962.600564460234,0.21743875439094684,5.037009814915803e-06,643.5285958568676,66.69296357062082,-0.005451417999164253,-5.421664113872015,0.3827834738675853,False
19,0.2656087782946686,16.0,0.7209786392822688,0.5028095016958131,-3.075424277045922,6.682704101201864e-08,749.8634074927382,522.4440838716479,1814140.81884568,43922.85391357228,0.2500017289315613,5.7913372705865015e-06,690.0346197636476,71.5126787755053,-0.0061111175696726555,-5.885541165137413,0.38465810842543613,False
20,0.24770763559917108,16.0,0.768034337388609,0.524413313643792,-3.6824511403745195,8.166082166027877e-08,748.654485124856,533.548443212909,1945243.7361591903,47097.03654867141,0.28744123670059113,6.658630539564462e-06,739.9015048249161,76.68070140912766,-0.0067691478203111685,-6.329919663129287,0.38651044426610215,False
21,0.23101297000831597,16.0,0.8182563875833815,0.5463822068999888,-4.377743163254548,9.977647397185763e-08,747.4251332623705,544.8404543465942,2085821.0971043974,50500.608544962546,0.3304875726622811,7.655807042633236e-06,793.3721311398705,82.2222026817684,-0.007425956346202231,-6.7558576819187115,0.38834012162996195,False
22,0.21544346900318834,16.0,0.8718629540457936,0.5686573751411914,-5.1741461929342165,1.218941980685173e-07,746.1786426337734,556.2898908225724,2236557.5934026567,54150.1472343378,0.3799803985604753,8.802317702682823e-06,850.7069310777589,88.16417285714955,-0.00808184249153058,-7.164258313763663,0.3901468080846826,False
23,0.20092330025650468,16.0,0.9290875016354663,0.591173155677867,-6.086296679969466,1.4888997323936337e-07,744.9186876412629,567.8630020184236,2398187.3975439607,58063.427946413365,0.4368851213589262,1.0120526354372898e-05,912.185157731676,94.5355527103737,-0.008737008154250587,-7.555920785606914,0.39193019834594556,False
24,0.1873817422860384,16.0,0.9901798821842125,0.6138571233974047,-7.130877117054595,1.8182852734582866e-07,743.6493211037971,579.522561426266,2571497.738624629,62259.51058449722,0.502311724467614,1.1636145973047384e-05,978.1062450399926,101.36737448596287,-0.009391587146861433,-7.931570814480065,0.3936900140418037,False
25,0.17475284000076838,16.0,1.0554074984889001,0.6366303212657853,-8.326901369782501,2.2200308436026717e-07,742.3749613585081,591.2279851306135,2757332.7366008596,66758.83245816115,0.5775364190769393,1.3378740231980417e-05,1048.7912661999812,108.69291304254352,-0.010045662930405706,-8.291879604059355,0.39542600342339745,False
26,0.16297508346206444,16.0,1.125056551586572,0.6594076448288706,-9.696034858549353,2.709832485070507e-07,741.1003707444902,602.9355294420395,2956597.5136331255,71583.30782456504,0.6640265379306689,1.5382300171328612e-05,1124.5844974769432,116.54784792033776,-0.010699279737890846,-8.637476274251819,0.3971379410248774,False
27,0.15199110829529336,16.0,1.199433377294885,0.6820983968576237,-11.26295439624979,3.3067263638386635e-07,739.8306245655434,614.5985759848186,3170262.6025460204,76756.4346233562,0.7634691571155267,1.7685907227292864e-05,1205.8550950254776,124.9704371208222,-0.011352449803885896,-8.968956305743681,0.3988256272754757,False
28,0.1417474162926805,16.0,1.2788658784317914,0.7046070260659048,-13.05575259255215,4.033781997314634e-07,738.5710697524493,626.168011397875,3399368.673875239,82303.40892500315,0.8778040041639901,2.0334495554535346e-05,1292.9988928899631,134.00170344495982,-0.012005158245233226,-9.2868874557692,0.4004888880667389,False
29,0.1321941148466029,16.0,1.3637050595903448,0.7268340605462617,-15.106391961886054,4.918935592179707e-07,737.3272726290667,637.5927071207784,3645031.604525119,88251.24764999276,1.0092612943756907,2.3379728511711176e-05,1386.4403309415443,143.68563429757822,-0.012657366507864901,-9.591813998277427,0.4021275742779926,False
30,0.12328467394420659,16.0,1.4543266718397803,0.7486772420789722,-17.45121414675934,5.995991381180232e-07,736.1049554378139,648.8201024285918,3908447.912723982,94628.92015660284,1.1604052333926245,2.688100640683983e-05,1486.634522141763,154.06939593105545,-0.013309014939269243,-9.884259804666625,0.40374156126314537,False
31,0.11497569953977356,16.0,1.5511329752550134,0.7700328616546338,-20.13150994529275,7.305824547554352e-07,734.9099216054899,659.7968908904818,4190900.58574859,101467.4893381572,1.3341840345893121,3.090662515959544e-05,1594.0694692015925,165.2035631718014,-0.013960024836018398,-10.164730586310377,0.4053307483019512,False
32,0.10722672220103231,16.0,1.6545546277460104,0.7907972893309887,-23.194156075263955,8.897826233589257e-07,733.7479701343947,670.4698067161281,4493765.328802076,108800.2629169879,1.533987426917036,3.553510848138051e-05,1709.2684414322619,177.14236574843443,-0.01461030018542626,-10.433715504282532,0.40689505801885906,False
33,0.1,16.0,1.765052709268853,0.8108686828994851,-26.69232477968128,1.0831639596364795e-06,732.6247999874803,680.7865030103353,4818517.265480909,116662.95567199138,1.7637127749500348,4.0856739558684654e-05,1832.7925233644862,189.9439524214104,-0.01525972923528277,-10.691688281693413,0.40843443577255123,False
34,0.093260334688322,16.0,1.8831208911547366,0.8301488498307223,-30.686272438744744,1.317924639421264e-06,731.5459058962059,690.6965088129912,5166738.122465992,125093.86338991967,2.027841100871155,4.6975322116741067e-05,1965.2433475493278,203.6706742005667,-0.015908185966890108,-10.939107911583118,0.40994884901925377,False
35,0.08697490026177834,16.0,2.0092877609947593,0.8485452257814451,-35.2442132484162,1.602747631945789e-06,730.5164676457549,700.1522460516627,5540123.933431443,134134.04938764803,2.3315244912816557,5.4010205214785025e-05,2107.266024850986,218.38938803001125,-0.016555531503882868,-11.17641902797804,0.41143828665284543,False
36,0.08111308307896872,16.0,2.1441193142706223,0.865972920911954,-40.4432836920833,1.948102727356016e-06,729.5412355656647,709.1100813487443,5940493.299693437,143827.54451388883,2.6806865937922306,6.209861126856634e-05,2259.5522865037033,234.17178241947468,-0.017201615456782372,-11.404051993381533,0.41290275832474205,False
37,0.07564633275546287,16.0,2.288221624727876,0.8823567729022916,-46.37060288732587,2.3666104274067123e-06,728.6244156456022,717.5313812717778,6369796.247833223,154221.56160447377,3.082138163681548,7.139831271051888e-05,2422.8438532364007,251.09472660813609,-0.01784627717784266,-11.622422748882348,0.4143422937464587,False
